ABANDON	AH.B.AE.N.D.AH.N
HEAVY	HH.EH.V.IY
HELIUM	HH.IY.L.IY.AH.M
HELM	HH.EH.L.M
HEMORRHAGE	HH.EH.M.R.AH.JH
HERALD	HH.EH.R.AH.L.D
HEREBY	HH.IH.R.B.AY
HEROIN	HH.EH.R.OW.AH.N
HI	HH.AY
HIGHLY	HH.AY.L.IY
HIGHNESS	HH.AY.N.AH.S
HINDER	HH.IH.N.D.ER
HINGE	HH.IH.N.JH
HINT	HH.IH.N.T
HISSING	HH.IH.S.IH.NG
HISTORY	HH.IH.S.T.R.IY
HITHER	HH.IH.DH.ER
HITHERTO	HH.IH.DH.ER.T.UW
HOG	HH.AA.G
HOLD	HH.OW.L.D
HOLIDAY	HH.AA.L.IH.D.EY
HOLLOW	HH.AA.L.OW
HOMEBOUND	HH.OW.M.B.AW.N.D
HON	HH.AH.N
HONESTLY	AA.N.AH.S.T.L.IY
HONORABLE	AA.N.ER.AH.B.AH.L
HORRIBLE	HH.AO.R.AH.B.AH.L
HORSEFLESH	HH.AO.R.S.F.L.EH.SH
HOTHOUSE	HH.AA.T.HH.AW.S
HOUSEKEEPING	HH.AW.S.K.IY.P.IH.NG
HUCKSTER	HH.AH.K.S.T.ER
HUMAN	Y.UW.M.AH.N
HUMANELY	HH.Y.UW.M.EY.N.L.IY
HUMANIZE	HH.Y.UW.M.AH.N.AY.Z
HUMP	HH.AH.M.P
HUNTING	HH.AH.N.T.IH.NG
ICICLE	AY.S.IH.K.AH.L
IDYLL	AY.D.AH.L
IMMENSE	IH.M.EH.N.S
IMMORTAL	IH.M.AO.R.T.AH.L
IMPACT	IH.M.P.AE.K.T
IN	IH.N
INBOARD	IH.N.B.AO.R.D
INCENTIVE	IH.N.S.EH.N.T.IH.V
INCIDENT	IH.N.S.AH.D.AH.N.T
INCULCATE	IH.NG.K.AH.L.K.EY.T
INDOLENT	IH.N.D.AH.L.AH.N.T
INFANTILE	IH.N.F.AH.N.T.IH.L
INFECTIOUS	IH.N.F.EH.K.SH.AH.S
INFER	IH.N.F.ER
INFIDEL	IH.N.F.IH.D.EH.L
INITIATE	IH.N.IH.SH.IY.EY.T
INKLING	IH.NG.K.L.IH.NG
INNING	IH.N.IH.NG
INOPPORTUNE	IH.N.AA.P.ER.T.UW.N
INSIDE	IH.N.S.AY.D
INSPECTOR	IH.N.S.P.EH.K.T.ER
INSURGENT	IH.N.S.ER.JH.AH.N.T
INTER	IH.N.T.ER
INTERCHANGE	IH.N.T.ER.CH.EY.N.JH
INTEREST	IH.N.T.R.IH.S.T
INTERFACE	IH.N.T.ER.F.EY.S
INTERFERE	IH.N.T.ER.F.IH.R
INTERIM	IH.N.T.R.AH.M
INTERLOCK	IH.N.T.ER.L.AA.K
INTERPOLATE	IH.T.ER.P.AH.L.EY.T
INTERPOSE	IH.N.T.ER.P.OW.Z
INTREPID	IH.N.T.R.EH.P.AH.D
INTRUSION	IH.N.T.R.UW.ZH.AH.N
INVADE	IH.N.V.EY.D
INWARDLY	IH.N.W.ER.D.L.IY
IOTA	AY.OW.T.AH
IRRATIONAL	IH.R.AE.SH.AH.N.AH.L
ITEMIZE	AY.T.AH.M.AY.Z
JAWBONE	JH.AO.B.OW.N
JERSEY	JH.ER.Z.IY
JIFFY	JH.IH.F.IY
JOCKEY	JH.AA.K.IY
JOINT	JH.OY.N.T
JOINTLY	JH.OY.N.T.L.IY
JOSS	JH.AO.S
JOVIAL	JH.OW.V.IY.AH.L
JOWL	JH.AW.L
JOYOUS	JH.OY.AH.S
JUDGEMENT	JH.AH.JH.M.AH.N.T
JUGGLE	JH.AH.G.AH.L
JUNGLE	JH.AH.NG.G.AH.L
JUROR	JH.UH.R.ER
JUSTIFY	JH.AH.S.T.AH.F.AY
KILL	K.IH.L
KNOT	N.AA.T
KNOW	N.OW
KRAUT	K.R.AW.T
LABEL	L.EY.B.AH.L
LADDER	L.AE.D.ER
LANDSCAPE	L.AE.N.S.K.EY.P
LANKY	L.AE.NG.K.IY
LAUGH	L.AE.F
LAUREATE	L.AO.R.IY.AH.T
LAVA	L.AA.V.AH
LEAP	L.IY.P
LEAPFROG	L.IY.P.F.R.AO.G
LEGALITY	L.IY.G.AE.L.AH.T.IY
LEGALIZE	L.IY.G.AH.L.AY.Z
LEVER	L.IY.V.ER
LEVITY	L.EH.V.IH.T.IY
LEXICON	L.EH.K.S.IH.K.AA.N
LIBERATE	L.IH.B.ER.EY.T
LIBRETTO	L.IH.B.R.EH.T.OW
LICENSE	L.AY.S.AH.N.S
LIFT	L.IH.F.T
LIGHTING	L.AY.T.IH.NG
LINGUIST	L.IH.NG.G.W.IH.S.T
LITER	L.IY.T.ER
LITTER	L.IH.T.ER
LIVER	L.IH.V.ER
LOATH	L.OW.TH
LOCKUP	L.AA.K.AH.P
LONGING	L.AO.NG.IH.NG
LOOSEN	L.UW.S.AH.N
LOP	L.AA.P
LOT	L.AO.T
LULL	L.AH.L
LUMINARY	L.UW.M.AH.N.EH.R.IY
LUNATIC	L.UW.N.AH.T.IH.K
LUNCH	L.AH.N.CH
LUNGE	L.AH.N.JH
LURE	L.UH.R
LURID	L.UH.R.AH.D
LUSTFUL	L.AH.S.T.F.AH.L
LUXURIOUS	L.AH.G.ZH.ER.IY.AH.S
M	EH.M.TH.R.IY
MAGICAL	M.AE.JH.IH.K.AH.L
MAGNIFY	M.AE.G.N.AH.F.AY
MALIGN	M.AH.L.AY.N
MANDAMUS	M.AE.N.D.EY.M.AH.S
MANIFEST	M.AE.N.AH.F.EH.S.T
MANIFOLD	M.AE.N.IH.F.OW.L.D
MATURE	M.AH.T.Y.UH.R
MAXIM	M.AE.K.S.AH.M
MAYHEM	M.EY.HH.EH.M
MEAN	M.IY.N
MECHANIZE	M.EH.K.AH.N.AY.Z
MELODIOUS	M.AH.L.OW.D.IY.AH.S
MEMO	M.EH.M.OW
MENAGERIE	M.AH.N.AE.JH.ER.IY
MENDACIOUS	M.EH.N.D.EY.SH.AH.S
MIGHTILY	M.AY.T.AH.L.IY
MILITATE	M.IH.L.IH.T.EY.T
MILLENNIUM	M.AH.L.EH.N.IY.AH.M
MINUS	M.AY.N.AH.S
MIRACLE	M.IH.R.AH.K.AH.L
MISERY	M.IH.Z.ER.IY
MISQUOTE	M.IH.S.K.W.OW.T
MISSIONARY	M.IH.SH.AH.N.EH.R.IY
MISSIVE	M.IH.S.IH.V
MOCCASIN	M.AA.K.AH.S.IH.N
MODERATOR	M.AA.D.ER.EY.T.ER
MOLASSES	M.AH.L.AE.S.AH.Z
MOLD	M.OW.L.D
MONTH	M.AH.N.TH
MORBID	M.AO.R.B.AH.D
MORTAR	M.AO.R.T.ER
MOTHERHOOD	M.AH.DH.ER.HH.UH.D
MOTION	M.OW.SH.AH.N
MOTTO	M.AA.T.OW
MOUND	M.AW.N.D
MOUNT	M.AW.N.T
MOVE	M.UW.V
MUCK	M.AH.K
MULE	M.Y.UW.L
MUSEUM	M.Y.UW.Z.IY.AH.M
MUSHROOM	M.AH.SH.R.UW.M
MUSICIAN	M.Y.UW.Z.IH.SH.AH.N
MUZZLE	M.AH.Z.AH.L
MYRIAD	M.IH.R.IY.AH.D
MYSTIFY	M.IH.S.T.AH.F.AY
MYTH	M.IH.TH
NAIL	N.EY.L
NAMELESS	N.EY.M.L.AH.S
NAP	N.AE.P
NATIVE	N.EY.T.IH.V
NATURE	N.EY.CH.ER
NAUGHT	N.AO.T
NAUSEATE	N.AO.Z.IY.EY.T
NEITHER	N.IY.DH.ER
NET	N.EH.T
NEURAL	N.Y.UH.R.AH.L
NEUTRON	N.UW.T.R.AA.N
NEWLY	N.UW.L.IY
NINETIETH	N.AY.N.T.IY.IH.TH
NITRATE	N.AY.T.R.EY.T
NORTHER	N.AO.R.DH.ER
NOSTRIL	N.AA.S.T.R.IH.L
NUMBER	N.AH.M.B.ER
NUZZLE	N.AH.Z.AH.L
OBLITERATE	AH.B.L.IH.T.ER.EY.T
OBSCURE	AH.B.S.K.Y.UH.R
OBTAIN	AH.B.T.EY.N
OBTRUDE	AH.B.T.R.UW.D
OCCURRENCE	AH.K.ER.AH.N.S
OCTOPUS	AA.K.T.AH.P.UH.S
OFF	AO.F
OFFICER	AO.F.IH.S.ER
OGLE	OW.G.AH.L
OLEANDER	OW.L.IY.AE.N.D.ER
ONENESS	W.AH.N.N.AH.S
OPPOSITE	AA.P.Z.AH.T
ORDEAL	AO.R.D.IY.L
ORIGINATE	ER.IH.JH.AH.N.EY.T
ORNATE	AO.R.N.EY.T
ORPHAN	AO.R.F.AH.N
OTHERWISE	AH.DH.ER.W.AY.Z
OUTGROWTH	AW.T.G.R.OW.TH
OUTRAGEOUS	AW.T.R.EY.JH.AH.S
OVERALL	OW.V.ER.AO.L
OVERLAY	OW.V.ER.L.EY
OVERSIGHT	OW.V.ER.S.AY.T
OVERTHROW	OW.V.ER.TH.R.OW
OWNERSHIP	OW.N.ER.SH.IH.P
PAIR	P.EH.R
PALAZZO	P.AH.L.AA.Z.OW
PALETTE	P.AE.L.AH.T
PALLIATIVE	P.AE.L.IY.AH.T.IH.V
PANACEA	P.AE.N.AH.S.IY.AH
PANTOMIME	P.AE.N.T.AH.M.AY.M
PANTY	P.AE.N.T.IY
PAPER	P.EY.P.ER
PAR	P.AA.R
PARABLE	P.EH.R.AH.B.AH.L
PARALLEL	P.EH.R.AH.L.EH.L
PARALYZE	P.EH.R.AH.L.AY.Z
PARCHMENT	P.AA.R.CH.M.AH.N.T
PARLOR	P.AA.R.L.ER
PARSLEY	P.AA.R.S.L.IY
PARTING	P.AA.R.T.IH.NG
PASTIME	P.AE.S.T.AY.M
PATCHWORK	P.AE.CH.W.ER.K
PATRIOT	P.EY.T.R.IY.AH.T
PAUSE	P.AO.Z
PAVEMENT	P.EY.V.M.AH.N.T
PEDANTIC	P.AH.D.AE.N.T.IH.K
PEDESTAL	P.EH.D.AH.S.T.AH.L
PENMAN	P.EH.N.M.AH.N
PENTAGON	P.EH.N.T.IH.G.AA.N
PER	P.ER
PERCHANCE	P.ER.CH.AE.N.S
PEREMPTORY	P.ER.EH.M.P.T.ER.IY
PERIPHERAL	P.ER.IH.F.R.AH.L
PETAL	P.EH.T.AH.L
PHOSPHORUS	F.AA.S.F.ER.AH.S
PHRASING	F.R.EY.Z.IH.NG
PHYSICIST	F.IH.Z.IH.S.IH.S.T
PINTO	P.IH.N.T.OW
PIOUS	P.AY.AH.S
PISS	P.IH.S
PLAN	P.L.AE.N
PLASTER	P.L.AE.S.T.ER
PLASTIC	P.L.AE.S.T.IH.K
PLATOON	P.L.AH.T.UW.N
PLAY	P.L.EY
PLAYGROUND	P.L.EY.G.R.AW.N.D
PLEDGE	P.L.EH.JH
PLUM	P.L.AH.M
PLY	P.L.AY
POINTED	P.OY.N.T.IH.D
POLE	P.OW.L
POLIO	P.OW.L.IY.OW
POLISH	P.OW.L.IH.SH
POLITIC	P.AA.L.AH.T.IH.K
PONDEROUS	P.AA.N.D.ER.AH.S
POPULATE	P.AA.P.Y.AH.L.EY.T
PORCELAIN	P.AO.R.S.AH.L.AH.N
POSITION	P.AH.Z.IH.SH.AH.N
POSITIVE	P.AA.Z.AH.T.IH.V
POSTPONE	P.OW.S.T.P.OW.N
POSTWAR	P.OW.S.T.W.AO.R
POTENTIAL	P.AH.T.EH.N.SH.AH.L
POTPOURRI	P.OW.P.UH.R.IY
PRAY	P.R.EY
PREACHER	P.R.IY.CH.ER
PREARRANGE	P.R.IY.ER.EY.N.JH
PRESS	P.R.EH.S
PRETEND	P.R.IY.T.EH.N.D
PREVIOUS	P.R.IY.V.IY.AH.S
PRIESTLY	P.R.IY.S.T.L.IY
PRIMARY	P.R.AY.M.EH.R.IY
PRIVACY	P.R.AY.V.AH.S.IY
